"","X.1","X","Selection","great.call","Begin.Time..s.","End.Time..s.","Delta.Time..s.","BW.90...Hz.","bandwidth","time.std.new"
"1",1,1,9,"CR_01_001.01",6.867,6.995,0.128,366.1,632.425083607456,0
"2",10,10,18,"CR_01_001.01",8.359,8.4,0.041,344.5,484.156103344298,1.492
"3",19,19,27,"CR_01_001.01",9.514,9.549,0.035,366.1,464.648491639254,2.647
"4",28,28,36,"CR_01_001.01",10.571,10.606,0.035,409.1,669.854096080044,3.704
"5",37,37,45,"CR_01_001.01",11.598,11.622,0.023,344.5,803.485410498904,4.731
"6",46,46,54,"CR_01_001.01",12.659,12.722,0.062,323,843.05719915022,5.792
"7",56,56,16,"CR_01_001.02",7.541,7.587,0.046,452.2,578.549568256579,0
"8",65,65,25,"CR_01_001.02",8.678,8.754,0.075,495.3,680.401007401316,1.137
"9",74,74,34,"CR_01_001.02",9.741,9.776,0.035,366.1,445.113051672149,2.2
"10",83,83,43,"CR_01_001.02",10.762,10.815,0.052,452.2,591.628851425439,3.221
"11",92,92,52,"CR_01_001.02",11.843,11.907,0.064,323,NA,4.302
"12",102,102,16,"CR_01_001.03",7.697,7.732,0.035,452.2,643.111136239035,0
"13",111,111,25,"CR_01_001.03",8.841,8.905,0.064,559.9,662.145667489035,1.144
"14",120,120,34,"CR_01_001.03",9.886,9.915,0.029,344.5,541.927575383772,2.189
"15",129,129,43,"CR_01_001.03",10.879,10.913,0.035,323,499.795586622807,3.182
"16",6673,6673,13,"DV_01_017.01",6.078,6.13,0.052,581.4,702.162708333334,0
"17",6682,6682,22,"DV_01_017.01",7.25,7.274,0.023,344.5,679.566159539474,1.172
"18",6691,6691,31,"DV_01_017.01",8.234,8.291,0.057,495.3,511.733911047149,2.156
"19",6700,6700,40,"DV_01_017.01",9.155,9.225,0.07,452.2,646.895779879386,3.077
"20",6709,6709,49,"DV_01_017.01",10.159,10.224,0.065,366.1,NA,4.081
"21",6718,6718,58,"DV_01_017.01",11.013,11.067,0.053,344.5,NA,4.935
"22",6728,6728,10,"DV_01_017.02",5.642,5.73,0.087,775.2,865.125010964912,0
"23",6737,6737,19,"DV_01_017.02",6.966,7.024,0.058,602.9,528.152585663377,1.324
"24",6746,6746,28,"DV_01_017.02",8.034,8.092,0.058,538.3,479.81489446272,2.392
"25",6755,6755,37,"DV_01_017.02",9.015,9.067,0.052,473.7,468.572276589912,3.373
"26",6764,6764,46,"DV_01_017.02",9.928,9.982,0.054,387.6,446.11486910636,4.286
"27",6773,6773,55,"DV_01_017.02",10.815,10.855,0.041,473.7,558.179280427632,5.173
"28",6782,6782,64,"DV_01_017.02",11.653,11.707,0.054,366.1,NA,6.011
"29",6791,6791,73,"DV_01_017.02",12.492,12.528,0.036,387.6,NA,6.85
"30",6801,6801,16,"DV_01_017.03",6.728,6.78,0.052,602.9,668.128743832237,0
"31",6810,6810,25,"DV_01_017.03",7.866,7.918,0.052,516.8,645.086942845395,1.138
"32",6819,6819,34,"DV_01_017.03",8.893,8.94,0.046,516.8,438.239470942983,2.165
"33",6828,6828,43,"DV_01_017.03",9.863,9.897,0.035,452.2,434.204372944079,3.135
"34",6837,6837,52,"DV_01_017.03",10.78,10.815,0.035,366.1,487.606807839912,4.052
"35",6846,6846,61,"DV_01_017.03",11.645,11.674,0.029,344.5,595.997888569079,4.917
"36",6855,6855,70,"DV_01_017.03",12.473,12.509,0.035,387.6,NA,5.745
"37",16432,16432,9,"IC_02_037.01",4.737,4.801,0.064,430.7,529.210059621711,0
"38",16441,16441,18,"IC_02_037.01",6.008,6.072,0.064,430.7,656.440873766447,1.271
"39",16450,16450,27,"IC_02_037.01",6.995,7.036,0.041,344.5,477.171209566886,2.258
"40",16459,16459,36,"IC_02_037.01",7.904,7.972,0.067,366.1,780.360124725877,3.167
"41",16468,16468,45,"IC_02_037.01",8.781,8.842,0.06,344.5,960.297667214912,4.044
"42",16477,16477,54,"IC_02_037.01",9.643,9.672,0.029,366.1,1045.25735128838,4.906
"43",16487,16487,11,"IC_02_037.02",4.998,5.021,0.023,344.5,535.777529468202,0
"44",16496,16496,20,"IC_02_037.02",6.045,6.108,0.062,387.6,486.382364309211,1.047
"45",16505,16505,29,"IC_02_037.02",7.041,7.07,0.029,279.9,433.286040296053,2.043
"46",16514,16514,38,"IC_02_037.02",7.92,8.003,0.083,279.9,468.210509183114,2.922
"47",16523,16523,47,"IC_02_037.02",8.818,8.85,0.032,366.1,NA,3.82
"48",16533,16533,12,"IC_02_037.03",5.155,5.207,0.052,387.6,438.99083401864,0
"49",16542,16542,21,"IC_02_037.03",6.252,6.304,0.052,258.4,325.034100877193,1.097
"50",16551,16551,30,"IC_02_037.03",7.239,7.279,0.041,215.3,387.202438322368,2.084
"51",16560,16560,39,"IC_02_037.03",8.125,8.201,0.075,279.9,458.053193530702,2.97
"52",16569,16569,48,"IC_02_037.03",9.008,9.071,0.062,366.1,1102.7783689693,3.853
"53",16578,16578,57,"IC_02_037.03",9.855,9.917,0.062,279.9,NA,4.7
